account_number,account_name,balance,account_type,recent_transactions,bank_code,status
8902300826,Christopher Valentine,744654.95,Loan,2344.37;8586.12;6732.06;8901.53;2506.58;2783.22,XYZ,active
2742994791,Marc Lane,112149.28,Business,5008.17;8420.24;4176.37;2265.08;7483.16;571.86;2997.56;6608.37;605.97;6140.39,DEF,active
3530545330,Kathryn Myers,483261.69,Savings,9115.31;7004.25;8630.34;3183.73;6885.99;9560.17;1102.38;4971.71;510.02,DEF,closed
3994814721,Taylor Campbell,220749.53,Business,4282.25;8946.62;5830.97;2554.22,JKL,active
8010420749,Justin Dunlap,746422.95,Loan,2168.17;5786.76;8044.18;8260.29;3384.13;7100.13;6820.55;7736.55,ABC,active
1733886897,Hannah Kennedy,554820.86,Loan,1820.42;1486.23;7210.71;1350.87;5776.27;6358.16;5615.89;8441.85;9370.87;9632.79,XYZ,active
7395755476,Albert Johnston,140340.59,Personal,7373.17;845.47;2574.95;3762.76;4145.97;9648.73;3157.44;9862.12;1554.0,XYZ,inactive
9102337562,Allison Hall,167549.28,Business,1854.42;6229.46;4299.61,GHI,closed
2324506136,Kyle Lynch,454924.19,Business,2382.67;4620.82;6781.24;684.36;7914.04;4409.97;9943.65;2988.18;9317.56,XYZ,closed
8146562758,Samantha Yates,454190.58,Personal,2782.72;2862.95;3754.32;2602.13,DEF,closed
2854993493,Timothy Carr,135177.02,Business,7502.66;2518.85;4273.91;1193.2;4424.2;3740.92,ABC,active
4644279938,Deborah Robinson,464132.74,Personal,6226.49;9542.85;6307.4;4022.57,DEF,inactive
9712309218,Mary Tran,788134.72,Personal,1752.08;2532.91;3730.23,GHI,inactive
1318412790,Richard Wilcox,697752.28,Loan,8453.91;9269.65;2233.15,XYZ,active
1850818709,Amanda Conway,865509.7,Personal,4440.12;9529.15;3704.74;490.81;7273.79;5836.86;2038.34;2227.03;8667.29,GHI,closed
9286143109,Raymond Ortiz,555845.9,Business,1018.3;6624.58;4914.07;837.71;3770.44;1286.4;2341.63;2540.8;1922.99;489.84,ABC,inactive
7168642930,Matthew Harris,77583.25,Business,5209.24;6906.77;6125.41;6494.54;5847.37;7983.96;6138.43;4159.47;350.32,XYZ,inactive
9831049406,Kristin Johnson,577237.76,Savings,6909.74;4339.37;9685.85;1203.86;9602.45;8621.63;8303.46;9096.71,GHI,active
7906926806,Katie Howell,388673.86,Business,6263.23;8336.22;7961.06;2250.25;389.33;3101.09;270.29;1533.57;5111.91;1353.31,XYZ,active
7678189017,James Robinson,281479.17,Savings,614.06;1835.42;9583.1;3183.31;8790.27;1788.07;6717.72;7021.28;6393.1;7220.23,XYZ,closed
1157277378,Maria West,805459.98,Savings,1395.55;2999.36,GHI,active
9754193323,Paul Wilson,904782.47,Loan,9532.05;3486.23;6642.96;6912.99;7027.19,DEF,active
1809992311,Donald Brown,678161.0,Savings,3939.83;5307.97;8437.86;6927.61;8563.0;741.22;1662.66,DEF,active
9107588307,Michelle Perkins,614623.17,Savings,5502.62;6297.42;1819.66;1167.0;3108.61;4449.92;7960.44;2813.98;4499.12,DEF,active
1897047776,Cody Garrison,281151.5,Loan,6207.69;705.41;6552.94;1082.54;4373.37;6489.19;3854.39;3291.99,XYZ,inactive
9802988774,Bonnie Lopez,777086.5,Personal,7694.22;2314.77;5344.1;8079.1;8760.36;3147.67;4066.43;9533.02;7480.06,ABC,inactive
2592552664,Christine Flores,807097.7,Business,3289.79;1784.16;6777.8,ABC,active
6400841714,Michelle Gibbs,835350.45,Personal,8354.56;2981.83;466.07;2587.36;8839.64,GHI,closed
5545348728,Roger Oconnor,192745.52,Personal,6932.39;7642.46;2097.97;4325.08;2793.1;7151.48;7356.95,ABC,active
7566742702,Alejandro Reynolds,648156.58,Business,3975.19;2106.41;4827.82;2647.7;4905.32;6741.95;4815.25;9066.78,XYZ,inactive
9055598710,Carl Hernandez,473863.13,Savings,8940.44;3543.24;7448.74;4256.78;8858.69;5357.82;2066.5;7388.23;1396.98,ABC,inactive
5645221471,Daniel Collins,578876.33,Savings,6007.33;4482.62;2891.01;4007.44;8520.33;6063.01,XYZ,inactive
7596876746,Nicholas Williams,686516.85,Business,5831.44;5937.04;4195.52;3458.44;2706.47;2592.45;3238.83;2304.34,ABC,closed
8563270454,Raymond Ware,318538.58,Business,598.65;6661.58,GHI,inactive
7427262783,Christina Davis,939794.97,Personal,8568.34;9807.93;4204.25,ABC,closed
7224709354,Bryan Fuller,250867.68,Savings,9503.89;4829.46;5500.01;2507.93;308.11;4847.71;2081.86,GHI,active
8161552418,Kayla Harrington,638776.6,Loan,7753.76;6347.26;1650.27;8429.28;5021.3;6136.87,JKL,inactive
3963174270,Jennifer Higgins,918998.76,Savings,8501.93;4430.13;4067.98;6355.41;2850.22;2371.82;2801.21;7698.74;6165.1,JKL,active
4934745495,Brandi Lee,520055.03,Loan,8023.7;2634.68;2276.75;3329.07;6842.03,GHI,inactive
5688025560,Heather Sullivan,722997.8,Personal,4611.25;6586.49;6326.5;2819.37;4750.91;7977.71;9974.77,ABC,active
7588063950,Craig Key,936522.13,Loan,678.66;4966.31;4543.79,DEF,active
4319512732,Eric Perry,799374.42,Loan,7062.15;832.87;1077.93;6230.12,DEF,inactive
1672759458,Benjamin Juarez,409171.98,Savings,9288.91;572.69;8300.49;852.42;5479.55;8732.88;895.5;3426.46,JKL,inactive
2426750830,Eugene Roberts,212004.78,Personal,6781.64;9202.22;471.65;4121.38;4042.72;4379.86;9857.87,DEF,active
7249839234,Jeffrey Woodard,779635.05,Personal,6238.18;4700.83;241.79;2396.79;2662.41;3146.55,XYZ,active
7616652933,Howard Dixon,354635.85,Personal,6712.4;7726.87;5706.87;5980.81;9636.96;7567.26;835.7;3022.05,XYZ,closed
4485025765,Tina Carlson,477752.21,Business,1530.14;2720.77;914.47;1042.82;6227.8;8718.06;3013.86;8641.79,XYZ,closed
5458034965,Anthony Hawkins,658479.86,Business,9261.65;3096.61;6911.31;1739.82;2366.8;1315.33;1974.84;296.02;302.76,DEF,active
8606796934,Miguel Santos,229672.24,Personal,1619.38;6552.56;8869.87;5843.78;2539.96;677.77;2633.08;5318.37;5502.3;5510.83,GHI,active
6478948849,Theresa Walker,753982.06,Loan,7190.2;6539.12;9087.34;4290.38;1414.92;3655.43,DEF,closed
7661712646,Derek Trevino,203107.3,Savings,4481.66;9908.23;8104.31;9615.05;2819.29;951.81;4362.26;2105.75;9093.7;7673.33,JKL,active
2213320033,Robert Patton,487430.3,Loan,1663.46;2082.54;9047.19;432.63,DEF,closed
2546018862,Brett Thomas,147285.8,Personal,422.56;1009.77;4987.22,DEF,inactive
2223258319,Christine Ray,395759.31,Loan,5674.13;5714.46,GHI,active
8487116544,Deborah Smith,70744.08,Personal,6212.73;3566.64;3882.18;5139.35;1108.29;5329.79;1348.78;3471.71;9183.94;4106.19,DEF,inactive
4146917301,Justin Dunn,906464.35,Business,5503.79;2394.31;4745.75;7040.74;6529.8;5287.16;8639.15,GHI,inactive
8665466953,Lisa Parker,128383.51,Savings,9143.26;208.96;2156.3;5242.16;6369.34;4046.16;3630.34;2247.62;8302.68;1741.73,GHI,active
9495986362,Mary Sherman,345018.29,Personal,7485.82;3810.2;9680.47;4828.91;8062.18;7800.7;3235.22;859.3;5866.69;1899.73,GHI,closed
2302681274,Matthew White,774593.79,Savings,926.84;1728.38,XYZ,active
1167148784,Nicole Wilson,124862.18,Personal,1274.54;3822.2;8783.33;4876.07;2381.15,GHI,closed
8135683038,Robert Burton,34688.08,Savings,5358.92;7282.99;4155.96;6228.37;9393.29,ABC,active
8343381549,Jay Phillips,127851.57,Savings,8710.11;8604.94;568.25;4636.92;7123.9;5960.62;1520.15;996.46;1900.66,XYZ,closed
2974433258,Andrew Odonnell,6377.96,Personal,8096.76;3840.88;8423.73,DEF,closed
6365809535,Charles Richmond,749165.32,Business,6398.36;8253.75;7725.98,XYZ,inactive
6223861217,Catherine Flynn,922045.12,Personal,1599.64;5761.8;9895.84;7608.58;2635.0;729.37;2042.24;1912.4;2515.91,XYZ,inactive
3327094882,Kayla Davidson,739563.42,Savings,5925.34;8946.99;7935.46;2368.81,XYZ,closed
1931037321,Mindy Lee,863782.88,Loan,8091.31;1535.22,GHI,closed
1368128028,Gregory Stewart,272668.81,Business,4397.41;1295.23;2877.44;5204.94;116.37;5094.19;9674.1;1243.43;537.62,GHI,active
2289403924,Adam Shelton,559451.51,Business,1379.61;7850.72;5707.61;8072.97,XYZ,active
8172307442,Craig Simpson,952919.72,Business,7534.93;292.01;1045.77;8243.68;6862.22;1364.32;1854.65,XYZ,closed
8024864606,Heather Aguirre,688051.1,Business,9062.75;6252.33;3779.88;2321.9;8799.08;9739.67;1923.04;2336.21;8557.75;8553.96,XYZ,closed
1586852737,Kelly Sanchez,428841.27,Loan,9612.26;1661.39;1849.89,GHI,closed
5386824269,Garrett Mosley,338037.04,Business,9960.82;210.56;9727.3,DEF,active
7161128959,John Mccarthy,459502.7,Business,3235.42;3536.89;6176.02;2012.04;7010.21,JKL,closed
7399356817,Matthew Young,909515.8,Business,8131.16;2188.41;2874.31,DEF,inactive
1466543065,Marcus Taylor,608680.76,Savings,7141.95;3073.94,JKL,inactive
2874399973,Stacey Cox,274335.27,Loan,2313.12;345.31;6778.25;7406.43,JKL,inactive
7426824237,Michael Bennett,803039.43,Loan,727.32;6265.22;419.0;2011.01;379.5;9577.94;117.37;137.67;555.58;9021.65,DEF,active
9020420829,Felicia Bryant,799664.51,Savings,3691.25;5341.1;1582.62;8279.68;5922.66;9546.06;4001.5;4959.45,XYZ,closed
1534366532,James Rodriguez,500287.32,Business,2767.95;6325.89;614.7;7935.37;4688.99;9557.16;3718.28;6184.57;7714.82,ABC,inactive
